,Name,Url,County,Sites,Average_rent,Unnamed: 0,FullstreetAddress,Latitude,Longitude
562,Climax MHP,https://www.mhvillage.com/parks/15494, Kalamazoo ,75,310,532,"14253 East On Avenue, Climax, MI, 49034",42.23909,-85.34544
563,Country Acres,https://www.mhvillage.com/parks/15725, Wexford ,200,N/A,1182,"300 Kristy Jo, Cadillac, MI, 49601",44.24871,-85.4407
564,Gale Valley Estates,https://www.mhvillage.com/parks/316, Kalamazoo ,226,N/A,534,"353 East Michigan Avenue, Galesburg, MI, 49053",42.28488,-85.41088
565,Oak Brook Estates,https://www.mhvillage.com/parks/15902, Kalamazoo ,134,N/A,535,"7200 Lovers Lane, Portage, MI, 49002",42.19698,-85.55991
566,Portage Terrace Mobile Home Park,https://www.mhvillage.com/parks/15491, Kalamazoo ,81,N/A,536,"11247 Portage Road, Portage, MI, 49002",42.15373,-85.56545
575,Mobile Home Estates,https://www.mhvillage.com/parks/15821, Kalkaska ,50,N/A,537,"2012 East Estate Road, Kalkaska, MI, 49646",44.71867,-85.09015
576,Country Meadows Village,https://www.mhvillage.com/parks/15960, Kent ,307,N/A,546,"5401 76th SE, Caledonia, MI, 49316",42.78644,-85.54563
577,Leonard Gardens,https://www.mhvillage.com/parks/577, Kent ,319,N/A,547,"4524 Leonard NW, Grand Rapids, MI, 49534",42.97102,-85.79108
578,Pinebrook Village,https://www.mhvillage.com/parks/15260, Kent ,185,N/A,549,"444 Bellewood Street SE, Grand Rapids, MI, 49548",42.86682,-85.66334
579,Alpine Meadows,https://www.mhvillage.com/parks/15037, Kent ,403,N/A,550,"3800 Fruitridge Avenue NW, Grand Rapids, MI, 49544",43.05124,-85.73307
580,"Key Vista, MHC",https://www.mhvillage.com/parks/15263, Kent ,137,495,551,"1800 West Main Street, Lowell, MI, 49331",42.93103,-85.35858
581,Byron Center,https://www.mhvillage.com/parks/33822, Kent ,143,N/A,552,"2680 84th Street, Byron Center, MI, 49315",42.81036,-85.72937
582,Camelot Manor,https://www.mhvillage.com/parks/15040, Kent ,335,N/A,553,"170 Camelot Blvd, Grand Rapids, MI, 49548",42.86682,-85.66334
583,Cedar Springs Mobile Estates,https://www.mhvillage.com/parks/15245, Kent ,216,450,555,"400 Susan, Cedar Springs, MI, 49319",43.23061,-85.51268
584,Holiday Estates,https://www.mhvillage.com/parks/15303, Wayne ,551,N/A,1166,"46000 Geddes Road Lot 416, Canton, MI, 48188",42.28145,-83.49234
587,Key Heights Village,https://www.mhvillage.com/parks/15253, Kent ,286,495,559,"11335 East Fulton Street, Lowell, MI, 49331",42.9646,-85.37632
588,Cutler Estates,https://www.mhvillage.com/parks/15049, Kent ,259,N/A,560,"6471 South Division, Grand Rapids, MI, 49548",42.82086,-85.66357
589,Grand Village,https://www.mhvillage.com/parks/169, Kent ,230,N/A,561,"6500 South Division Avenue, Grand Rapids, MI, 49548",42.82086,-85.66357
590,Dutton Mill Village,https://www.mhvillage.com/parks/15036, Kent ,307,N/A,562,"6720 West Mill Run SE, Caledonia, MI, 49316",42.84126,-85.5783
591,Algoma Estates,https://www.mhvillage.com/parks/161, Montcalm ,343,395,788,"4456 13 Mile Road, Rockford, MI, 49341",43.12562,-85.49424
592,Brookside Village,https://www.mhvillage.com/parks/15877, Kent ,196,N/A,565,"3130 Slater Ave SE, Kentwood, MI, 49512",42.90659,-85.55911
593,Ferrand Estates,https://www.mhvillage.com/parks/172, Kent ,420,459,566,"4528 Halifax SW, Wyoming, MI, 49519",42.88233,-85.73019
596,Brentwood Village,https://www.mhvillage.com/parks/15041, Kent ,195,N/A,570,"201 60th Street SE, Kentwood, MI, 49548",42.86682,-85.66334
597,Riverview Manufactured Housing Community,https://www.mhvillage.com/parks/15096, Kent ,154,N/A,571,"95 Viking Drive, Sparta, MI, 49345",43.16063,-85.69073
598,Southwood Village,https://www.mhvillage.com/parks/171, Kent ,394,406,548,"440 60th Street SE, Grand Rapids, MI, 49548",42.86682,-85.66334
600,The Oaks of Rockford,https://www.mhvillage.com/parks/104025, Montcalm ,262,525,790,"11640 Townsquare Blvd, Rockford, MI, 49341",43.12562,-85.49424
605,Creekside,https://www.mhvillage.com/parks/15099, Kent ,165,527,568,"5100 Clyde Park Avenue SW, Wyoming, MI, 49509",42.90216,-85.69671
613,Lakeside Village,https://www.mhvillage.com/parks/281, Montcalm ,67,500,794,"12205 Hart Street, Greenville, MI, 48838",43.13567,-85.36587
619,Spring Valley Mobile Home Park,https://www.mhvillage.com/parks/15262, Montcalm ,52,525,795,"6460 Northland Drive, Rockford, MI, 49341",43.12562,-85.49424
621,Whispering Pines,https://www.mhvillage.com/parks/15385, Van Buren ,104,N/A,1119,"67663 County Road 388, South Haven, MI, 49090",42.41813,-86.22021
627,Lincoln Pines Resort Inc,https://www.mhvillage.com/parks/287, Montcalm ,156,N/A,800,"13033 19 Mile Road, Gowen, MI, 49326",43.24926,-85.32648
633,Side-O-Lake Resort Park,https://www.mhvillage.com/parks/15261, Montcalm ,45,N/A,805,"15301 Lakeshore Drive, Gowen, MI, 49326",43.24926,-85.32648
636,La-E-Ma Land Mobile Home Park,https://www.mhvillage.com/parks/15254, Montcalm ,29,N/A,809,"7825 Cannonsburg Road, Rockford, MI, 49341",43.12562,-85.49424
642,Pine Lakes Mobile Home Park,https://www.mhvillage.com/parks/15993, Lapeer ,163,525,572,"110 Pine Lakes Drive, Lapeer, MI, 48446",43.0454,-83.23808
643,Ideal Villa Mobile Home Park,https://www.mhvillage.com/parks/15302, Lapeer ,168,N/A,573,"3660 South Lapeer Road, Metamora, MI, 48455",42.94319,-83.30183
644,Hunters Creek,https://www.mhvillage.com/parks/15872, Lapeer ,402,330,575,"725 Demille Road, Lapeer, MI, 48446",43.05416,-83.33011
645,River Ridge,https://www.mhvillage.com/parks/30003, Washtenaw ,288,420,1137,"289 Dundee, Saline, MI, 48176",42.14439,-83.81735
646,Crestview Manor,https://www.mhvillage.com/parks/15542, Lapeer ,200,375,577,"1485 Ridgeview Drive, Lapeer, MI, 48446",43.05416,-83.33011
647,Deerfield Pines,https://www.mhvillage.com/parks/15929, Lapeer ,122,350,578,"82 Deerfield Pines Drive, North Branch, MI, 48461",43.21108,-83.22283
648,Kingsbrook Estates,https://www.mhvillage.com/parks/443, Lapeer ,233,N/A,579,"4600 N. Van Dyke Road, Almont, MI, 48003",42.93551,-83.04396
649,Lapeer Meadows,https://www.mhvillage.com/parks/15544, Lapeer ,228,290,580,"1265 Farnsworth Road, Lapeer, MI, 48446",43.05416,-83.33011
650,North Branch Meadows,https://www.mhvillage.com/parks/16007, Lapeer ,127,N/A,581,"6800 Lydia Boulevard, North Branch, MI, 48461",43.21108,-83.22283
651,Sand Hill Estates,https://www.mhvillage.com/parks/15546, Lapeer ,50,N/A,582,"4063 Bowers Road, Attica, MI, 48412",43.06305,-83.16774
652,Victoria Meadows,https://www.mhvillage.com/parks/15963, Lapeer ,130,320,583,"3750 Nash Lane, Dryden, MI, 48428",42.93839,-83.15914
653,Garner Drive Mobile Home Park,https://www.mhvillage.com/parks/15545, Lapeer ,18,N/A,584,"Garner Drive, Imlay City, MI, 48444",43.06429,-83.04903
